graph,seed,fr_iterations,sa_iterations,original_k,original_crossings,original_valid,random_k,random_crossings,random_valid,circular_k,circular_crossings,circular_valid,grid_k,grid_crossings,grid_valid,fr_k,fr_crossings,fr_valid,sa_k,sa_crossings,sa_valid,sa_uniform_k,sa_uniform_crossings,sa_uniform_valid,duration_ms
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,1,500,1000,3,3,1,2,3,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,223
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,1,500,5000,3,3,1,2,3,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,304
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,1,500,10000,3,3,1,2,3,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,433
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,2,500,1000,3,3,1,2,4,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,199
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,2,500,5000,3,3,1,2,4,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,298
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,2,500,10000,3,3,1,2,4,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,425
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,3,500,1000,3,3,1,2,3,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,191
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,3,500,5000,3,3,1,2,3,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,290
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,3,500,10000,3,3,1,2,3,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,431
instances_converted/rome_real/00000_GDT-testsuite-CD.tgz_ALF_CD_graphswith10nodes_ug13.10_n10_m9.json,4,500,1000,3,3,1,4,7,1,3,3,1,2,3,1,0,0,1,0,0,1,0,0,1,188
